,Template,Paper,Re: RESTUD: MS 24476-3 Accepted,Re: RESTUD: MS 26198-3 Accepted,Re: RESTUD: MS 26541-2 Accepted,Re: RESTUD: MS 26541-2 Accepted,Re: RESTUD: MS 24500-4 Accepted,Re: RESTUD: MS 26235-4 Accepted,Re: RESTUD: MS 26468-4 Accepted,Re: RESTUD: MS 24250-4 Accepted,Re: RESTUD: MS 24078-3 Accepted,Re: RESTUD: MS 26024-4 Accepted,Re: RESTUD: MS 24792-3 Accepted,Re: RESTUD: MS 25446-3 Accepted,Re: RESTUD: MS 25845-3 Accepted,Re: RESTUD: MS 27369-3 Accepted,Re: RESTUD: MS 24777-3 Accepted,Re: RESTUD: MS 27825-3 Accepted,Re: RESTUD: MS 28192-3 Accepted,Re: RESTUD: MS 27157-5 Accepted,24767,27720,26570,28198,29186,26197,Test card,19690,26084,Re: RESTUD: MS 27827-3 Accepted,29023,27690,27007,Re: RESTUD: MS 27157-5 Accepted,25485,24402,25338,27104,26058,27528,26084,29375,Re: RESTUD: MS 25146-3 Accepted,Re: RESTUD: MS 28434-3 Accepted,Re: RESTUD: MS 27965-3 Accepted,AEJApp-2020-0615.R1,Re: RESTUD: MS 26990-3 Accepted,25306,24920,26715,Re: RESTUD: MS 25098-3 Accepted,Re: RESTUD: MS 25077-4 Accepted,Re: RESTUD: MS 25304-4 Accepted,Re: RESTUD: MS 26920-3 Accepted,26437,26299,24500,23269,23594,25632,23976,Re: RESTUD: MS 24152-3 Accepted,Re: RESTUD: MS 27804-3 Accepted,Re: RESTUD: MS 27258-3 Accepted,Re: RESTUD: MS 24045-3 Accepted,Re: RESTUD: MS 25136-4 Accepted,26586,25389,Re: RESTUD: MS 21202-4 Accepted,Re: RESTUD: MS 26167-2 Accepted,Re: RESTUD: MS 23580-4 Accepted,Re: RESTUD: MS 19690-3 Accepted,Re: RESTUD: MS 26023-2 Accepted,Re: RESTUD: MS 25255-4 Accepted,Re: RESTUD: MS 23441-3 Accepted,18075,24845,Re: RESTUD: MS 27144-4 Accepted,Re: RESTUD: MS 24618-5 Accepted,Re: RESTUD: MS 23975-3 Accepted,Re: RESTUD: MS 27118-2 Accepted,Re: RESTUD: MS 10624-5 Accepted,Re: RESTUD: MS 26154-4 Accepted,Re: RESTUD: MS 28949-2 Accepted,Re: RESTUD: MS 26331-3 Accepted,Re: RESTUD: MS 24307-3 Accepted,Re: RESTUD: MS 27014-3 Accepted,Re: RESTUD: MS 23483-3 Accepted,Re: RESTUD: MS 28407-2 Accepted,Re: RESTUD: MS 28598-2 Accepted,Re: RESTUD: MS 26684-3 Accepted,Re: RESTUD: MS 25364-4 Accepted,Re: RESTUD: MS 27531-3 Accepted,Re: RESTUD: MS 26763-3 Accepted,Re: RESTUD: MS 28178-2 Accepted,Re: RESTUD: MS 26460-3 Accepted,Re: RESTUD: MS 27221-3 Accepted,28192,Re: RESTUD: MS 25945-4 Accepted,Re: RESTUD: MS 26693-3 Accepted,Re: RESTUD: MS 25355-4 Accepted,Re: RESTUD: MS 28352-2 Accepted,Re: RESTUD: MS 28171-2 Accepted,Re: RESTUD: MS 28728-3 Accepted,Re: RESTUD: MS 25000-3 Accepted,Re: RESTUD: MS 27912-3 Accepted,Re: RESTUD: MS 24921-4 Accepted,Re: RESTUD: MS 25930-3 Accepted,Re: RESTUD: MS 26008-3 Accepted,Re: RESTUD: MS 28638-3 Accepted,Re: RESTUD: MS 27512-3 Accepted,27511,Re: RESTUD: MS 26128-3 Accepted,28191,Re: RESTUD: MS 24181-4 Accepted,28063,Re: RESTUD: MS 22272-4 Accepted,28130,28091,Re: RESTUD: MS 24240-5 Accepted,23961,29277,27079,27021,24700,25310,Re: RESTUD: MS 25886-3 Accepted,Re: RESTUD: MS 26256-3 Accepted,Re: RESTUD: MS 27027-4 Accepted,Re: RESTUD: MS 27788-3 Accepted,Re: RESTUD: MS 28300-3 Accepted,Re: RESTUD: MS 28433-3 Accepted,Re: RESTUD: MS 26683-3 Accepted,Re: RESTUD: MS 25843-3 Accepted,27608,26650,28279,29044,29044
list_after1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At editor,At editor,At editor,,At editor,,,At editor,At editor,At team,At editor,At editor,,,,Author submitted,,At editor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At editor,At team,At editor,,At team,Author submitted,,,At editor,,,At editor,At editor,At editor,,,,,,,,,,,,At editor,
activity2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,,,,updateCard,updateCard,updateCard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,,,,,,,,,,,updateCard,updateCard,
date2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-07T08:40,2021-07-30T12:37,2021-06-19T14:31,2021-06-23T15:16,2021-08-09T14:58,2021-08-10T09:21,2021-06-09T13:33,2021-07-08T10:38,2021-07-30T12:57,2021-08-05T11:26,2021-08-16T09:21,2021-08-05T10:27,2021-08-16T18:35,,,,2021-07-14T08:42,2021-07-22T13:28,2021-08-05T11:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-05-26T08:31,2021-05-26T13:51,2021-05-26T11:44,2021-05-26T10:50,2021-05-26T14:18,2021-06-09T13:05,2021-05-27T07:32,2021-06-18T05:53,2021-07-07T14:28,2021-07-07T19:14,2021-06-04T10:48,2021-05-26T06:55,2021-06-18T06:41,2021-07-08T13:00,2021-07-07T12:18,,,,,,,,,,,2021-08-05T10:08,2021-08-05T10:27,
list_before2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Author submitted,,Author submitted,At team,,,,,,,,,,Author submitted,At editor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At team,,At editor,At team,Author submitted,Author submitted,Author submitted,,Author submitted,Author submitted,,,At editor,,,,,,,,,,,,,
list_after2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At team,,At team,At editor,,,,,,,,,,At team,At author,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At editor,,At team,At editor,At team,At team,At team,,At team,At editor,,,At team,,,,,,,,,,,,,
activity3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,updateCard,updateCard,updateCard,updateCard,updateCard,,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,,,,,updateCard,updateCard,updateCard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,,,,,,,,,,,updateCard,updateCard,
date3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-07T10:12,2021-07-30T18:07,2021-07-07T12:32,2021-07-07T12:39,2021-08-09T14:58,,2021-06-09T15:35,2021-07-08T10:38,2021-07-30T18:12,2021-08-05T16:58,2021-08-16T15:38,2021-08-05T16:45,,,,,2021-08-05T09:11,2021-07-22T14:14,2021-08-05T11:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-05-26T12:41,2021-05-26T15:16,2021-05-26T11:44,2021-05-26T14:00,2021-05-26T14:22,2021-06-09T13:05,2021-05-27T12:54,2021-06-18T06:07,2021-07-08T09:19,2021-07-09T12:09,2021-06-04T11:52,2021-05-26T13:52,2021-06-24T21:12,2021-07-09T12:21,2021-07-07T12:18,,,,,,,,,,,2021-08-05T10:26,2021-08-05T16:54,
list_before3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Author submitted,At editor,At editor,At editor,,,At team,,At editor,At editor,At team,At editor,,,,,Author submitted,At team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Author submitted,At editor,,At editor,At team,,At team,At team,At team,At editor,At team,At editor,At editor,At editor,,,,,,,,,,,,DAP does not apply,At editor,
list_after3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At team,At author,At author,At author,,,At editor,,At author,At author,At editor,At author,,,,,At editor,At editor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At team,Editor accepted,,At author,At editor,,At editor,At editor,At editor,At author,At editor,At author,At author,At author,,,,,,,,,,,,At editor,DAP does not apply,
activity4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,updateCard,updateCard,updateCard,updateCard,updateCard,,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,,,,,updateCard,updateCard,updateCard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,,,,,,,,,,,updateCard,updateCard,
date4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-07T14:24,2021-07-30T18:07,2021-07-07T12:32,2021-07-07T12:39,2021-08-09T16:28,,2021-06-09T21:10,2021-07-09T12:09,2021-07-30T18:12,2021-08-05T16:58,2021-08-16T15:38,2021-08-05T16:45,,,,,2021-08-05T09:11,2021-07-30T08:49,2021-08-05T11:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-05-26T13:04,2021-05-26T15:16,2021-05-26T14:14,2021-05-26T14:00,2021-06-02T14:13,2021-06-09T20:37,2021-05-27T12:54,2021-06-18T06:07,2021-07-08T09:19,2021-07-09T12:09,2021-06-09T11:07,2021-05-26T13:52,2021-06-24T21:12,2021-07-09T12:21,2021-07-07T13:01,,,,,,,,,,,2021-08-05T10:26,2021-08-05T16:54,
list_before4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At team,,,,At team,,At editor,At editor,,,,,,,,,,At editor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At team,,At editor,,At editor,At editor,,,,,At editor,,,,At team,,,,,,,,,,,,,
list_after4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At editor,,,,At editor,,At team,At author,,,,,,,,,,Author submitted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At editor,,At author,,At author,At author,,,,,At author,,,,At editor,,,,,,,,,,,,,
activity5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,updateCard,updateCard,updateCard,updateCard,updateCard,,updateCard,updateCard,updateCard,updateCard,,updateCard,,,,,updateCard,updateCard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,updateCard,,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,,,,,,,,,,,updateCard,,
date5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-07T14:24,2021-07-30T18:07,2021-07-12T19:45,2021-08-05T10:07,2021-08-09T16:28,,2021-06-09T21:10,2021-07-09T12:09,2021-08-12T09:20,2021-08-05T16:58,,2021-08-05T16:45,,,,,2021-08-05T09:53,2021-07-30T08:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-05-26T13:04,,2021-05-26T14:14,2021-06-09T08:38,2021-06-02T14:13,2021-06-09T20:37,2021-06-02T13:45,2021-06-24T21:05,2021-07-09T09:29,2021-07-12T19:26,2021-06-09T11:07,2021-06-17T09:12,2021-07-07T08:38,2021-07-21T12:43,2021-07-09T12:30,,,,,,,,,,,2021-08-05T16:36,,
list_before5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At author,At author,,,At team,,At author,,,,,,,,At editor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At author,,,At editor,At editor,,At author,,At author,At author,At author,At editor,,,,,,,,,,,At editor,,
list_after5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Author submitted,Author submitted,,,Author submitted,,Author submitted,,,,,,,,At author,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Author submitted,,,At author,Editor accepted,,Author submitted,,Author submitted,Author submitted,Author submitted,At author,,,,,,,,,,,DAP does not apply,,
activity6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,updateCard,updateCard,updateCard,updateCard,,,updateCard,updateCard,updateCard,updateCard,,updateCard,,,,,updateCard,updateCard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,updateCard,,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,,,,,,,,,,,updateCard,,
