MS,commit,author,date,message,branch
18075,3d77c0c,Miklos Koren,"Fri Sep 18 12:59:27 2020 +0200","Rerun all .do files",""
18075,6cf1e6d,Miklos Koren,"Fri Sep 18 10:10:16 2020 +0200","Add files from Supplementary.zip",""
18075,d1fa2f7,Miklos Koren,"Tue Aug 11 20:21:16 2020 +0200","Update report",""
18075,4a1f153,Gergely Attila Kiss,"Mon Aug 3 14:16:27 2020 +0200","finish up inconsistencies of tables",""
18075,c91e9fe,Miklós Koren,"Sat Aug 1 14:33:01 2020 +0200","Merge pull request #1 from restud-replication-packages/internal",""
18075,a6f19f4,Miklos Koren,"Sat Aug 1 14:32:01 2020 +0200","Add report"," (origin/internal)"
18075,3f0578a,Miklos Koren,"Sat Aug 1 13:58:49 2020 +0200","Fix all Stata errors",""
18075,849c611,Miklos Koren,"Sat Aug 1 13:31:46 2020 +0200","Run all code and add .log files",""
18075,2a0a04a,Miklos Koren,"Sat Aug 1 11:44:40 2020 +0200","Add files from Supplementary.zip",""
18075,1ed5ac3,Miklos Koren,"Sat Aug 1 11:43:33 2020 +0200","Add MS",""
18075,90d5dc1,Miklos Koren,"Thu May 7 19:03:17 2020 +0200","Log errors",""
18075,1bef8e7,Miklos Koren,"Thu May 7 18:41:46 2020 +0200","Log files",""
18075,c575ac9,Miklos Koren,"Thu May 7 14:54:56 2020 +0200","Add Makefile to run all code",""
18075,d74573d,Miklos Koren,"Thu May 7 14:14:26 2020 +0200","Add files from author",""
18075,abb0a82,Miklos Koren,"Mon Feb 3 09:54:08 2020 +0100","Add manuscript",""
18075,88435e6,Miklós Koren,"Mon Feb 3 09:52:10 2020 +0100","Initial commit",""
23269,97fe6fe,Miklos Koren,"Mon Jul 13 19:13:07 2020 +0200","Add revised version from https://zenodo.org/record/3925391#.Xwx9xZMzbUI"," (HEAD -> master, origin/master, origin/HEAD)"
23269,062dd9c,Miklos Koren,"Fri Apr 24 21:16:14 2020 +0200","report",""
23269,1726f42,Miklos Koren,"Fri Apr 24 20:50:14 2020 +0200","Incoming files from authors",""
23269,177d6a7,Miklós Koren,"Fri Apr 24 20:47:40 2020 +0200","Initial commit",""
25632,c77fda3,Miklos Koren,"Tue Jun 30 17:59:07 2020 +0200","Add log file from Version 4"," (HEAD -> master, origin/master, origin/HEAD)"
25632,a3fe547,Miklos Koren,"Mon Jun 29 15:33:08 2020 +0200","Add Version 3 submitted by authors",""
25632,fccbb1c,Miklos Koren,"Tue Jun 9 22:36:45 2020 +0200","Add report",""
25632,c1a50a3,Miklos Koren,"Tue Jun 9 22:36:37 2020 +0200","Add replication results",""
25632,e6875db,Miklos Koren,"Mon Jun 8 23:04:57 2020 +0200","Files from authors",""
23594,77d90ba,Miklos Koren,"Tue Jun 30 10:01:17 2020 +0200","Authors submitted revised version, available at DOI 10.5281/zenodo.3908270"," (HEAD -> master, tag: accepted, origin/master, origin/HEAD)"
23594,3a62563,Miklos Koren,"Tue Jun 23 17:27:28 2020 +0200","Add report",""
23594,5070757,Miklos Koren,"Tue Jun 9 22:43:47 2020 +0200","Add files downloaded from Zenodo",""
23594,90bd73e,Miklós Koren,"Tue Jun 9 22:42:06 2020 +0200","Initial commit",""
24500,ab2dc31,Miklos Koren,"Mon Jul 13 19:30:10 2020 +0200","Add changes from https://zenodo.org/record/3925391"," (HEAD -> master, origin/master, origin/HEAD)"
24500,d8aa9ce,Miklos Koren,"Mon Jun 29 15:17:08 2020 +0200","Add report",""
24500,f47ea6f,Janos Biro,"Thu Jun 25 13:15:48 2020 +0200","Initial commit - from Zenodo",""
24500,ef4263d,Miklós Koren,"Thu Jun 25 12:36:21 2020 +0200","Initial commit",""
26437,ce98357,Gergely Attila Kiss,"Mon Aug 24 19:57:33 2020 +0200","update report.yaml"," (HEAD -> master, origin/master, origin/HEAD)"
26437,55fe755,Gergely Attila Kiss,"Mon Aug 24 18:48:50 2020 +0200","add manuscript",""
26437,dccbb89,Gergely Attila Kiss,"Mon Aug 24 18:48:02 2020 +0200","add files from https://zenodo.org/record/3996625/files/Replication_Files_23Aug2020.zip?download=1",""
26437,6c23e13,Gergely Attila Kiss,"Thu Aug 13 15:37:00 2020 +0200","add files from https://zenodo.org/record/3906541/files/Replication_Files.zip?download=1",""
26437,5ad6fdc,Miklos Koren,"Thu Jul 9 09:07:21 2020 +0200","Add report",""
26437,ce921a5,Miklos Koren,"Wed Jul 8 12:04:32 2020 +0200","Add files from Zenodo at DOI 10.5281/zenodo.3906541",""
26437,17699fd,Miklós Koren,"Wed Jul 8 11:58:57 2020 +0200","Initial commit",""
26299,845bd6b,Miklós Koren,"Thu Jul 9 16:25:02 2020 +0200","Initial commit"," (HEAD -> master, origin/master, origin/HEAD)"
23976,6ac58d6,Miklos Koren,"Wed Jul 15 17:24:26 2020 +0200","Change to relative path so that Stata code runs. Add report.yaml"," (HEAD -> master, origin/master, origin/HEAD)"
23976,6fc60be,Miklos Koren,"Tue Jul 14 19:38:27 2020 +0200","Add files from http://doi.org/10.5281/zenodo.3936262",""
23976,d7cf4d9,Miklós Koren,"Tue Jul 14 19:35:31 2020 +0200","Initial commit",""
24152,2896ef6,Miklos Koren,"Tue Aug 11 20:23:06 2020 +0200","Add new version from 10.5281/zenodo.3967674"," (HEAD -> master, tag: accepted, origin/master, origin/HEAD)"
24152,bfeb2b0,Miklos Koren,"Wed Jul 29 16:48:31 2020 +0200","Move report outside Analysis folder",""
24152,47f03bb,Miklos Koren,"Wed Jul 29 16:46:25 2020 +0200","Add report",""
24152,1326b75,Miklos Koren,"Wed Jul 29 16:29:19 2020 +0200","Add percentages",""
24152,6122095,Miklos Koren,"Wed Jul 29 16:15:56 2020 +0200","Fix issues with missing variables and add .log files",""
24152,46dac37,Miklos Koren,"Wed Jul 29 16:02:41 2020 +0200","Add files from https://zenodo.org/record/3944715",""
24152,c35917f,Miklós Koren,"Wed Jul 29 15:54:45 2020 +0200","Initial commit",""
27258,d1f534d,Miklos Koren,"Wed Aug 12 17:27:42 2020 +0200","Add files (unchanged) from https://zenodo.org/record/3981200#.XzQKBxMzbOQ"," (HEAD -> master, tag: accepted, origin/master, origin/HEAD)"
27258,951a4e5,Miklos Koren,"Wed Aug 12 14:07:47 2020 +0200","Add files from 10.5281/zenodo.3971164",""
27258,139e74f,Miklos Koren,"Sat Aug 1 11:33:54 2020 +0200","Add report.yaml",""
27258,5ea6cab,Miklos Koren,"Thu Jul 30 20:08:25 2020 +0200","Add repor",""
27258,484c422,Miklos Koren,"Thu Jul 30 19:56:35 2020 +0200","Add manuscript",""
27258,6091096,Miklos Koren,"Thu Jul 30 19:46:47 2020 +0200","Add files from https://www.zenodo.org/record/3926691/files/replication-archive.zip?download=1",""
27258,1288bd3,Miklós Koren,"Thu Jul 30 19:42:07 2020 +0200","Initial commit",""
26920,df549b9,Miklos Koren,"Wed Sep 9 10:20:01 2020 +0200","Add files from https://zenodo.org/record/3997900"," (HEAD -> master, origin/master, origin/HEAD)"
26920,c8826c6,Miklos Koren,"Tue Aug 18 19:19:36 2020 +0200","Update report",""
26920,60cf8cf,Miklos Koren,"Tue Aug 18 18:44:55 2020 +0200","Add data files to LFS",""
26920,ceb1f8d,Gergely Attila Kiss,"Wed Aug 12 18:03:21 2020 +0200","Add initial report.yaml",""
26920,b8f6824,Gergely Attila Kiss,"Wed Aug 12 16:42:47 2020 +0200","Add files from https://zenodo.org/record/3969539/files/DKMT_replication.zip?download=1",""
26920,20d2bda,Gergely Attila Kiss,"Wed Aug 12 16:34:42 2020 +0200","Add .gitignore to ignore data files (~ GB)",""
26920,52c13ee,gergelyattilakiss,"Wed Aug 12 14:29:28 2020 +0200","initial commit",""
25304,efef26a,Miklos Koren,"Fri Sep 18 09:59:43 2020 +0200","Update julia folder"," (HEAD -> master, origin/master, origin/HEAD)"
25304,ac887e4,Miklos Koren,"Fri Sep 18 09:17:34 2020 +0200","Add files from https://zenodo.org/record/4007866",""
25304,011bec6,Miklos Koren,"Thu Aug 27 15:36:15 2020 +0200","Update report",""
25304,5f71420,Miklos Koren,"Thu Aug 27 15:33:29 2020 +0200","Add Dockerfile",""
25304,8d67536,Gergely Attila Kiss,"Wed Aug 12 22:53:11 2020 +0200","add initial report.yaml based on README",""
25304,0e948d6,Gergely Attila Kiss,"Wed Aug 12 15:57:00 2020 +0200","add files from https://zenodo.org/record/3972182/files/MS25304.zip?download=1",""
25304,34bf947,Gergely Attila Kiss,"Wed Aug 12 15:53:57 2020 +0200","add .gitignore to ignore data files (~megabytes)",""
25304,f7cea97,gergelyattilakiss,"Wed Aug 12 15:15:02 2020 +0200","Initial commit",""
24045,bd1b897,Miklos Koren,"Wed Sep 9 14:43:32 2020 +0200","Satisfy all requests"," (HEAD -> master, origin/master, origin/HEAD)"
24045,ac348b8,Miklos Koren,"Wed Sep 9 14:36:58 2020 +0200","Add files from https://zenodo.org/record/4013683/files/Data%20Package.zip?download=1",""
24045,719851a,Miklos Koren,"Tue Aug 25 10:00:44 2020 +0200","Update report",""
24045,49ca3f5,Miklos Koren,"Wed Aug 19 10:05:30 2020 +0200","Add first version of report",""
24045,d9fc4f8,Miklos Koren,"Wed Aug 19 09:32:52 2020 +0200","Add files from https://zenodo.org/record/3985787",""
24045,de91fb6,Miklós Koren,"Wed Aug 19 09:21:33 2020 +0200","Initial commit",""
25077,8b8a3c7,Gergely Attila Kiss,"Wed Sep 23 11:50:44 2020 +0200","update report.yaml"," (HEAD -> master, tag: accepted, origin/master, origin/HEAD)"
25077,00b136d,Gergely Attila Kiss,"Wed Sep 23 11:35:52 2020 +0200","add files from https://zenodo.org/record/4020466/files/replication%20package.zip?download=1",""
25077,dec0a0a,Miklos Koren,"Wed Sep 9 11:18:30 2020 +0200","Add files from https://zenodo.org/record/4004267/files/replication%20package.zip?download=1",""
25077,c8d475b,Miklos Koren,"Thu Aug 27 15:58:23 2020 +0200","Add report",""
25077,3957887,Miklos Koren,"Thu Aug 27 15:45:49 2020 +0200","Files from https://zenodo.org/record/3993677/files/replication%20package.zip",""
25389,b82adcf,Gergely Attila Kiss,"Wed Sep 23 12:14:43 2020 +0200","update report.yaml"," (HEAD -> master, origin/master, origin/HEAD)"
25389,885bf67,Gergely Attila Kiss,"Wed Sep 23 12:06:17 2020 +0200","add files from https://zenodo.org/record/4029206/files/replication_chari_liu_wang_wang.zip?download=1",""
25389,06fe5bc,Miklos Koren,"Tue Sep 1 20:37:38 2020 +0200","Add report",""
25389,767ff4d,Miklos Koren,"Thu Aug 27 17:57:44 2020 +0200","Add manuscript",""
25389,bdc2efe,Miklos Koren,"Thu Aug 27 17:45:26 2020 +0200","Add files from https://zenodo.org/record/3924520/files/replication%20files%20for%20property%20rights.zip?download=1",""
25136,2e8e583,Miklos Koren,"Thu Sep 10 16:15:10 2020 +0200","Remove requests that authors have complied with"," (HEAD -> master, origin/master, origin/HEAD)"
25136,bf1fd43,Miklos Koren,"Thu Sep 10 16:11:01 2020 +0200","Add files from https://zenodo.org/record/4017410/files/f2frepl_070920.zip?download=1",""
25136,c1711ed,Miklos Koren,"Tue Sep 1 20:42:17 2020 +0200","Add report",""
25136,b1cc72d,Miklos Koren,"Tue Sep 1 12:55:05 2020 +0200","Add manuscript",""
25136,f282463,Miklos Koren,"Tue Sep 1 12:44:44 2020 +0200","Add files from https://zenodo.org/record/4002963/files/f2frepl.zip?download=1",""
26715,8f5fd9f,Miklos Koren,"Wed Oct 21 21:49:04 2020 +0200","Add files from "https://zenodo.org/record/4088940/files/UberReplication.zip?download=1""," (HEAD -> master, origin/master, origin/HEAD)"
26715,a1024fe,Miklos Koren,"Fri Sep 25 10:26:47 2020 +0200","Update report for new version",""
26715,9c7ffbf,Gergely Attila Kiss,"Wed Sep 23 11:23:27 2020 +0200","update report.yaml",""
26715,0b17535,Miklos Koren,"Thu Sep 10 17:45:45 2020 +0200","Add files from https://www.zenodo.org/record/4021322/files/UberReplication.zip?download=1",""
26715,0d9c3e1,Miklos Koren,"Thu Sep 10 17:29:02 2020 +0200","Add files from https://zenodo.org/record/4021322/files/UberReplication.zip?download=1",""
26715,2bd48a3,Miklos Koren,"Tue Sep 1 20:50:24 2020 +0200","Add manuscript",""
26715,02d7fec,Miklos Koren,"Tue Sep 1 20:45:17 2020 +0200","Add files from https://www.zenodo.org/record/3988581/files/UberReplication.zip?download=1",""
23580,77c827e,Gergely Attila Kiss,"Wed Sep 30 18:00:45 2020 +0200","update report.yaml"," (HEAD -> master, origin/master, origin/HEAD)"
23580,0dd967e,Gergely Attila Kiss,"Wed Sep 30 15:39:40 2020 +0200","add files from https://zenodo.org/record/4039422/files/replication%20package.zip?download=1",""
23580,1b3b33c,Miklos Koren,"Tue Sep 8 17:24:48 2020 +0200","Add report",""
23580,33619ec,Miklos Koren,"Tue Sep 8 16:57:25 2020 +0200","Code does not run b/c absolute path",""
23580,75bbb4e,Miklos Koren,"Tue Sep 8 16:53:25 2020 +0200","Add manuscript",""
23580,438f93c,Miklos Koren,"Tue Sep 8 16:47:38 2020 +0200","Add files from https://zenodo.org/record/3950509/files/replication%20package.zip?download=1",""
26586,a0c67ac,Miklos Koren,"Fri Sep 25 19:30:09 2020 +0200","Rerun everything."," (HEAD -> master, tag: accepted, origin/master, origin/HEAD)"
26586,e50f09a,Miklos Koren,"Fri Sep 25 11:48:30 2020 +0200","Add files from https://zenodo.org/record/4026093/files/Replication_Folder.zip?download=1",""
26586,e6e87e4,Miklos Koren,"Tue Sep 8 18:13:42 2020 +0200","Add report",""
26586,25be276,Miklos Koren,"Tue Sep 8 18:06:13 2020 +0200","Run code",""
26586,4831cf9,Miklos Koren,"Tue Sep 8 17:50:07 2020 +0200","Code does not run b/c absolute path",""
26586,6415ec5,Miklos Koren,"Tue Sep 8 17:40:29 2020 +0200","Add files from https://zenodo.org/record/3935879/files/Replication_Folder.zip?download=1",""
26586,da2e532,Miklos Koren,"Tue Sep 8 17:27:01 2020 +0200","Add manuscript",""
25098,a8c80a5,Miklos Koren,"Wed Oct 21 15:57:19 2020 +0200","Add files from "https://zenodo.org/record/4115399/files/FKZ_replication_package.zip?download=1""," (HEAD -> master, origin/master, origin/HEAD)"
25098,89bddad,Miklos Koren,"Wed Oct 21 15:20:18 2020 +0200","Update report",""
25098,c05d51a,Miklos Koren,"Wed Oct 21 15:03:24 2020 +0200","Add files from "https://zenodo.org/record/4030412/files/FKZ_replication_package.zip?download=1"",""
25098,2530541,Gergely Attila Kiss,"Mon Sep 21 10:49:31 2020 +0200","update report.yaml",""
25098,df71a19,Gergely Attila Kiss,"Mon Sep 21 10:18:19 2020 +0200","add files from https://zenodo.org/record/4011691/files/FKZ_replication_package.zip?download=1",""
25098,c493285,Miklos Koren,"Thu Sep 10 16:01:25 2020 +0200","Update report",""
25098,fcc2d05,Miklos Koren,"Thu Sep 10 16:01:10 2020 +0200","Make and run C code",""
25098,c99f5ff,Gergely Attila Kiss,"Thu Sep 10 10:21:22 2020 +0200","add exhibits to report.yaml",""
25098,e886233,Miklos Koren,"Wed Sep 9 14:30:56 2020 +0200","Add report",""
25098,879d07d,Miklos Koren,"Wed Sep 9 14:22:04 2020 +0200","Add manuscript",""
25098,d0eda7c,Miklos Koren,"Wed Sep 9 14:19:32 2020 +0200","Generate graphs",""
25098,3623854,Miklos Koren,"Wed Sep 9 14:16:48 2020 +0200","Generate tables",""
25098,aa2cd08,Miklos Koren,"Wed Sep 9 14:11:31 2020 +0200","Code does not run bc of path",""
25098,e70fe41,Miklos Koren,"Wed Sep 9 13:57:04 2020 +0200","Add files from https://zenodo.org/record/4011691/files/FKZ_replication_package.zip?download=1",""
23441,b10a951,Gergely Attila Kiss,"Tue Nov 10 12:51:01 2020 +0100","removing _MACOSX"," (HEAD -> master, tag: accepted, origin/master, origin/HEAD)"
23441,7c82762,Gergely Attila Kiss,"Tue Nov 10 12:48:14 2020 +0100","Merge branch 'master' of github.com:restud-replication-packages/23441",""
23441,35d6660,Gergely Attila Kiss,"Tue Nov 10 12:45:04 2020 +0100","update report.yaml",""
23441,fff086d,Gergely Attila Kiss,"Tue Nov 10 12:44:50 2020 +0100","add files from https://zenodo.org/record/4139612/files/RESTUD_MS23441_Replication.zip?download=1",""
23441,7a66ccd,Miklos Koren,"Wed Sep 30 19:54:57 2020 +0200","Edit report"," (tag: asked-for-revision)"
23441,3c1e745,Miklos Koren,"Wed Sep 30 19:51:46 2020 +0200","Redownload again",""
23441,23b1ec6,Miklos Koren,"Wed Sep 30 19:40:40 2020 +0200","Edit report",""
23441,26fb79a,Gergely Attila Kiss,"Wed Sep 30 14:55:03 2020 +0200","add report",""
23441,a680f87,Gergely Attila Kiss,"Wed Sep 30 14:54:49 2020 +0200","add files form https://zenodo.org/record/3976042/files/RESTUD_MS23441_Replication.zip?download=1",""
23441,edbe90a,Gergely Attila Kiss,"Wed Sep 30 14:54:34 2020 +0200","add gitignore",""
23441,d155c6b,gergelyattilakiss,"Sun Sep 20 19:37:06 2020 +0200","Initial commit",""
26023,da35850,Miklos Koren,"Wed Oct 21 21:38:37 2020 +0200","Add files from "https://zenodo.org/record/4074995/files/Package%20Manuscript%20MS26023.zip?download=1""," (HEAD -> master, tag: accepted, origin/master, origin/HEAD)"
26023,0e868e0,Miklos Koren,"Wed Sep 30 19:13:42 2020 +0200","Edit report"," (tag: sent-for-revision)"
26023,28e21d9,Gergely Attila Kiss,"Wed Sep 23 12:38:33 2020 +0200","add report.yaml",""
26023,c5ada33,Gergely Attila Kiss,"Wed Sep 23 12:21:51 2020 +0200","add files from https://zenodo.org/record/4001950/files/Package%20Manuscript%20MS26023.zip?download=1",""
26023,c7627b8,gergelyattilakiss,"Wed Sep 23 09:12:41 2020 +0200","Initial commit",""
19690,790100e,Miklos Koren,"Wed Oct 21 16:12:21 2020 +0200","Add files from "https://zenodo.org/record/4066885/files/mergers_data_codes.zip?download=1""," (HEAD -> master, tag: accepted, origin/master, origin/HEAD)"
19690,c76691b,Miklos Koren,"Wed Sep 30 19:27:01 2020 +0200","Edit report"," (tag: asked-for-revision)"
19690,cd5f8f8,Miklos Koren,"Wed Sep 30 19:17:17 2020 +0200","Add manuscript",""
19690,390763a,Gergely Attila Kiss,"Wed Sep 30 14:47:55 2020 +0200","add report",""
19690,c479ff0,Gergely Attila Kiss,"Wed Sep 30 14:47:30 2020 +0200","add files from https://zenodo.org/record/4039889/files/mergers_data_codes.zip?download=1",""
19690,aebecf3,gergelyattilakiss,"Tue Sep 29 11:54:12 2020 +0200","Initial commit",""
26167,87746aa,gergelyattilakiss,"Wed Oct 7 14:55:06 2020 +0200","Initial commit"," (HEAD -> main, origin/main, origin/HEAD)"
21202,c3dd777,gergelyattilakiss,"Wed Oct 7 14:56:25 2020 +0200","Initial commit"," (HEAD -> main, origin/main, origin/HEAD)"
25255,1e08e48,Miklos Koren,"Sat Oct 31 12:23:00 2020 +0100","Add files from https://zenodo.org/record/4110947/files/public_code.zip?download=1"," (HEAD -> master, origin/master, origin/HEAD)"
25255,0286a1d,Miklos Koren,"Sat Oct 17 01:05:09 2020 +0200","update report",""
25255,84e552d,Gergely Attila Kiss,"Fri Oct 16 18:05:39 2020 +0200","add report.yaml",""
25255,5c059af,Gergely Attila Kiss,"Wed Oct 14 16:44:21 2020 +0200","remove failed download",""
25255,d7f8f36,Gergely Attila Kiss,"Wed Oct 14 16:42:15 2020 +0200","add files form https://zenodo.org/record/4068584/files/public_code.zip?download=1",""
24845,e171b95,Gergely Attila Kiss,"Tue Nov 17 12:47:50 2020 +0100","update report.yaml and some code for installing packages"," (HEAD -> master, origin/master, origin/HEAD)"
24845,82a3148,Gergely Attila Kiss,"Tue Nov 17 11:51:50 2020 +0100","add files from https://zenodo.org/record/4266119/files/Archive.zip?download=1",""
24845,0166526,Miklos Koren,"Wed Oct 21 16:53:50 2020 +0200","Update report"," (tag: revision-requested)"
24845,833b6dc,Gergely Attila Kiss,"Fri Oct 16 18:38:39 2020 +0200","add MS and report.yaml",""
24845,8915119,Gergely Attila Kiss,"Fri Oct 16 18:13:59 2020 +0200","add files from https://zenodo.org/record/4064749/files/Archive.zip?download=1",""
24920,536a4e2,Miklos Koren,"Wed Oct 28 10:19:31 2020 +0100","Add files from https://zenodo.org/record/4116125"," (HEAD -> master, tag: accepted, origin/master, origin/HEAD)"
24920,92ad2da,Miklos Koren,"Tue Oct 20 09:16:53 2020 +0200","Add files from https://zenodo.org/record/4096818/files/ReturnstoNursing_replication.zip?download=1",""
27144,925668f,Gergely Attila Kiss,"Tue Nov 17 16:44:14 2020 +0100","forgot to add *macosx to report"," (HEAD -> master, origin/master, origin/HEAD)"
27144,764a398,Gergely Attila Kiss,"Tue Nov 17 16:43:12 2020 +0100","update report.yaml",""
27144,89beb6a,Gergely Attila Kiss,"Tue Nov 17 13:11:59 2020 +0100","add files from https://zenodo.org/record/4269665/files/ReplicationFiles.zip?download=1",""
27144,423c2dd,Miklos Koren,"Wed Oct 28 22:16:02 2020 +0100","Edit report"," (tag: request-revision)"
27144,8f017aa,Gergely Attila Kiss,"Wed Oct 28 12:39:25 2020 +0100","add report.yaml",""
27144,e9189d2,Gergely Attila Kiss,"Wed Oct 28 12:13:35 2020 +0100","add files from https://zenodo.org/record/4084626/files/ReplicationFiles.zip?download=1",""
23975,16ef42e,Miklos Koren,"Wed Dec 9 10:15:38 2020 +0100","Add files from https://zenodo.org/record/4287356/files/Replication%20Material%20MS23975.zip?download=1"," (HEAD -> master, tag: accepted, origin/master, origin/HEAD)"
23975,6f4c5f2,Miklos Koren,"Sat Oct 31 12:19:44 2020 +0100","Edit report",""
23975,911f709,Gergely Attila Kiss,"Wed Oct 28 17:17:28 2020 +0100","add report.yaml",""
23975,a470107,Gergely Attila Kiss,"Wed Oct 28 13:03:26 2020 +0100","add files from https://zenodo.org/record/4116477/files/Replication%20Material%20MS23975.zip?download=1",""
24618,254ed9e,Miklos Koren,"Thu Nov 26 14:50:42 2020 +0100","Add files from https://zenodo.org/record/4290892/files/Replication%20Angelucci%20Bennett%20V3.zip?download=1"," (HEAD -> master, tag: accepted, origin/master, origin/HEAD)"
24618,dad7189,Gergely Attila Kiss,"Tue Nov 17 13:08:25 2020 +0100","update report.yaml",""
24618,ac36116,Gergely Attila Kiss,"Tue Nov 17 12:54:08 2020 +0100","add files from https://zenodo.org/record/4272158/files/Replication%20Angelucci%20Bennett%20V2.zip?download=1",""
24618,6522529,Miklos Koren,"Wed Nov 11 11:48:58 2020 +0100","Add data citation request (after sending email)",""
24618,bff99ec,Miklos Koren,"Wed Nov 11 11:48:06 2020 +0100","Update report",""
24618,97a0f84,Gergely Attila Kiss,"Tue Nov 10 12:34:56 2020 +0100","add report.yaml",""
24618,a9b6819,Gergely Attila Kiss,"Mon Nov 9 18:24:27 2020 +0100","add files from https://zenodo.org/record/4075582/files/Replication%20Angelucci%20Bennett.zip?download=1",""
23483,a4c74af,csokaimola,"Fri Jan 29 16:23:38 2021 +0100","update report"," (HEAD -> master, tag: accept, origin/master, origin/HEAD)"
23483,a28dafb,csokaimola,"Fri Jan 29 16:18:40 2021 +0100","add files from https://zenodo.org/record/4463989#.YBQlzXko_IU",""
23483,4c93df0,Gergely Attila Kiss,"Sun Jan 17 19:39:51 2021 +0100","update report",""
23483,2196491,Gergely Attila Kiss,"Sun Jan 17 19:22:59 2021 +0100","add files from https://zenodo.org/record/4429337/files/Haanwinckel_Soares_Replication.zip?download=1",""
23483,e4059ac,Miklos Koren,"Thu Jan 7 17:06:06 2021 +0100","Update report"," (tag: request-revision)"
23483,c286418,Miklos Koren,"Thu Jan 7 10:12:39 2021 +0100","run runAll.do"," (origin/editor)"
23483,a0bc1eb,Miklos Koren,"Fri Dec 18 15:27:23 2020 +0100","Add data files",""
23483,01fd256,Gergely Attila Kiss,"Wed Nov 25 16:28:14 2020 +0100","add report.yaml",""
23483,6b330fc,Gergely Attila Kiss,"Wed Nov 25 16:27:50 2020 +0100","add files from https://zenodo.org/record/4287679/files/Haanwinckel_Soares_Replication.zip?download=1",""
24307,6a4d6ff,Miklos Koren,"Wed Jan 27 10:13:06 2021 +0100","Add files from https://zenodo.org/record/4357052/files/ReplicationFiles.zip?download=1"," (HEAD -> master, tag: accept, origin/master, origin/HEAD)"
24307,8309b4e,Miklos Koren,"Fri Dec 18 10:27:36 2020 +0100","Ask for data cite"," (tag: request-revision)"
24307,8dcca82,Gergely Attila Kiss,"Wed Dec 9 15:12:36 2020 +0100","add report.yaml",""
24307,a40a8ee,Gergely Attila Kiss,"Wed Dec 9 14:51:57 2020 +0100","add files from https://zenodo.org/record/4301978/files/ReplicationFiles.zip?download=1",""
28949,372e991,Miklos Koren,"Fri Jan 22 17:12:03 2021 +0100","Add files received by email"," (HEAD -> master, tag: accept, origin/master, origin/HEAD)"
28949,4b1cfe7,Miklos Koren,"Thu Jan 21 16:02:17 2021 +0100","Merge remote-tracking branch 'origin/master'",""
